한글명,영문명(INCI),CAS번호,카테고리,주요기능,출처/설명,이명,데이터출처
가공소금,,,식약처 등재,,,,B (식약처)
가지열매추출물,Solanum Melongena (Eggplant) Fruit Extract,84012-19-1,식약처 등재,,이 원료는 가지(Eggplant) Solanum melongena의 열매에서 추출한 것이다.,가지추출물,B (식약처)
구멍쇠미역추출물,Agarum Cribrosum Extract,,식약처 등재,,이 원료는 조류의 일종인 구멍쇠미역 Agarum cribosum에서 추출한 것이다.,,B (식약처)
루핀아미노산,Lupine Amino Acids,,식약처 등재,,이 원료는 루핀 단백질의 완전 가수분해로 얻은 아미노산의 혼합물이다.,,B (식약처)
류신,Leucine,"328-39-2(DL-),61-90-5(L-)",식약처 등재,,이 원료는 다음의 구조를 갖는 아미노산이다.,,B (식약처)
류코노스톡/무발효여과물,Leuconostoc/Radish Root Ferment Filtrate,,식약처 등재,,이 원료는 미생물의 일종인 Leuconostoc으로 무 Raphanus sativus의 뿌리를 발효하여 여과한 것이다.,,B (식약처)
백혈구추출물,Leukocyte Extract,,식약처 등재,,이 원료는 백혈구에서 추출한 것이다.,류코사이트추출물,B (식약처)
리나칸투스 콤무니스추출물,Rhinacanthus Communis Extract,,식약처 등재,,이 원료는 Rhinacanthus communis의 전초에서 추출한 것이다.,,B (식약처)
리날룰,Linalool,78-70-6,식약처 등재,,이 원료는 다음의 구조를 갖는 터펜이다.,,B (식약처)
리날릴아세테이트,Linalyl Acetate,115-95-7,식약처 등재,,이 원료는 다음의 구조를 갖는 리날로올과 아세틱애씨드의 에스터이다.,,B (식약처)
리놀레닉애씨드,Linolenic Acid,463-40-1,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 불포화 지방산이다.,,B (식약처)
리놀레아마이드엠이에이,Linoleamide MEA,"10015-67-5,68171-52-8",식약처 등재,,이 원료는 리놀레익애씨드의 에탄올아마이드 혼합물이다.,,B (식약처)
구상나무잎가루,Abies Koreana Leaf Powder,,식약처 등재,,이 원료는 구상나무 Abies koreana의 잎을 건조하여 가루로 한 것이다.,,B (식약처)
리놀레아미도프로필다이메틸아민다이머다이리놀리에이트,Linoleamidopropyl Dimethylamine Dimer Dilinoleate,125804-10-6,식약처 등재,,이 원료는 리놀레익애씨드 다이머와 리놀레아미도프로필다이메틸아민의 염이다.,리놀레아미도프로필디메칠아민다이머디리놀리에이트,B (식약처)
리놀레아미도프로필에틸다이모늄에토설페이트,Linoleamidopropyl Ethyldimonium Ethosulfate,99542-23-1,식약처 등재,,이 원료는 다음의 구조를 갖는 4급 암모늄염이다.,리놀레아미도프로필에칠디모늄에토설페이트,B (식약처)
